Salinity (ppt),Dissolved Oxygen (mg/L),pH (standard units),Secchi Depth (m),Water Depth (m),Water Temp (Degree C),Air Temp-Celsius,Air Temp ( Degree F),AirTemp ( Degree C)
1.3,11.7,7.3,0.4,0.4,5.9,8,46.4,8
1.5,12,7.4,0.2,0.35,3,2.6,36.68,2.6
1,10.5,7.2,0.25,0.6,5.9,7.6,45.68,7.6
1,10.1,7.4,0.35,0.5,10,2.7,36.86,2.7
1,9.9,7.1,0.2,0.9,9.7,15.2,59.36,15.2
0.5,10.4,7.2,0.25,0.75,9.8,10.1,50.18,10.1
1,9.2,7.1,0.15,0.95,16.1,22.1,71.78,22.1
1,9.2,7.2,0.25,0.75,15,13.5,56.3,13.5
1,8.6,7.3,0.2,0.75,15.7,13,55.4,13
1,8.8,7.6,0.2,0.7,17.5,16.6,61.88,16.6
1,10,7.9,0.2,0.5,19.3,22.1,71.78,22.1
1.3,9.8,7.5,0.2,0.65,16.1,13,55.4,13
1,10.1,7.9,0.25,0.75,18.8,19.5,67.1,19.5
1,8.2,7.8,0.25,0.8,22.1,22.3,72.14,22.3
1,10.8,9.1,0.05,0.05,21.7,24.3,75.74,24.3
1,8.7,8.5,0.35,0.8,22.3,22.7,72.86,22.7
1,9.4,8.6,0.35,0.8,23.8,25.7,78.26,25.7
1.2,10.4,9,0.35,0.8,27.9,26.9,80.42,26.9
1.5,9.8,9,0.35,0.7,29.5,30.5,86.9,30.5
1.5,7.3,8.1,0.25,1.2,25.5,27.9,82.22,27.9
2,10.7,9,0.4,0.9,28.5,28,82.4,28
2,11,9.4,0.5,0.9,30.5,28.5,83.3,28.5
2,10.7,9.2,0.45,0.75,29,25.5,77.9,25.5
2,10.2,9.2,0.4,0.55,22,21.5,70.7,21.5
2.3,6.9,8.8,0.45,0.9,24.5,20,68,20
2,9.1,9.1,0.45,0.9,27,24.5,76.1,24.5
2.3,9.8,9.3,0.45,0.75,27,27,80.6,27
2.5,8.6,8.5,0.2,1.2,17,17,62.6,17
2.5,7.9,8.4,0.35,0.6,21,19,66.2,19
2.5,8.2,8.1,0.45,0.6,20.5,21.5,70.7,21.5
2.25,6.9,8.1,0.45,0.8,23,23,73.4,23
2.5,8.4,8.1,0.45,0.5,17,17,62.6,17
2.5,7.4,7.6,0.35,0.85,18,19,66.2,19
2.5,9,7.3,0.2,0.5,15,15,59,15
2.8,9.4,7.7,0.25,0.65,13,17.5,63.5,17.5
2.5,11.4,6.9,0.35,0.4,5,5,41,5
3,10.4,6.9,0.15,0.4,8,9.5,49.1,9.5
0,5.4,7,0.4,0.8,15,22,72,22.22222222
0,4.3,7,0.8,1.3,27,74,23,-5
0,6,6.5,0.5,1.4,25,19,66,18.88888889
0,3.8,6.5,0.2,0.2,16,16,60,15.55555556
0,4.4,6.5,0.2,0.4,16,16,60,15.55555556
0,6.3,6.7,0.7,0.7,17,16,60,15.55555556
0,8.8,6.5,1,1.3,14,13,55,12.77777778
0,9,7,0.7,0.8,13,13,55,12.77777778
0,7.6,7,0.4,0.5,11,9,48,8.888888889
0,10,6.5,0.9,1.1,11,9,48,8.888888889
0,6.7,7,3,3.5,5,3,38,3.333333333
0,10,6.5,1.7,1.7,5,3,38,3.333333333
0,3.2,7,0.3,0.6,9,7,45,7.222222222
0,7.6,6.5,0.3,0.5,8,7,45,7.222222222
0,10,6.5,0.9,1.3,10,14,58,14.44444444
0,8.2,7,0.3,0.6,9,14,58,14.44444444
0,5.7,6.5,0.5,0.9,13,10,50,10
0,5.2,7,0.3,0.5,13,9,48,8.888888889
0,5.2,7,0.5,0.5,12,9,48,8.888888889
0,7.1,7,0.3,0.5,13,8,47,8.333333333
0,10,6.5,1.6,1.6,12,8,47,8.333333333
0,5,7,0.3,0.3,10,11,51,10.55555556
0,3.2,7,0.3,0.3,10,10,50,10
